centroid_town,centroid_x,centroid_y,centroid_lat,centroid_lon
Northfield,122462.36837245538,936561.7269583608,42.67577053985395,-72.44596587635246
Plympton,257219.66732065936,857241.5897003352,41.96345341060623,-70.80973331392252
Berkley,235402.13330711363,842972.7143657355,41.836272974370345,-71.07378245884264
Kingston,262282.8012214708,859802.2106618547,41.986121474786195,-70.7483852854056
Montague,116422.9196553917,923201.2076939914,42.554878918986596,-72.5176962143693
West Stockbridge,44338.75039291705,897252.0109652183,42.310244944951926,-73.38823132552199
Danvers,245128.03880411125,925051.7493863954,42.57471759063378,-70.95032400230848
Otis,69061.45280310238,884919.3081004467,42.203768960473084,-73.0856303839885
Wilmington,227475.8695481059,923426.4180180851,42.56090975814168,-71.16540861522984
Richmond,46923.88878465368,905701.1488907902,42.386803734886776,-73.35911614933106
Douglas,179181.9629698827,866919.9137644845,42.05239868180456,-71.75148638089004
Abington,244734.47239115517,874322.473035403,42.1180447663593,-70.95903644840114
Southwick,94168.38187556616,867905.6426223916,42.05440835431776,-72.77855523522526
Yarmouth,306230.3342438004,826162.8872235646,41.67856892443678,-70.22417110035613
Alford,41079.94165856969,890477.633817246,42.24861499957321,-73.4258935029014
Springfield,114035.75504403976,874422.0746838982,42.115502441781864,-72.53952273358549
Bedford,218224.31675414465,916290.4422434412,42.496940749277336,-71.27829597478792
Ashland,202586.87782709335,889643.8597785003,42.257257411409945,-71.46864897027794
Monroe,78571.10187934409,942395.2809144865,42.722654193031396,-72.98259180388499
Oakham,155009.85629781426,900091.7925480085,42.35002678055371,-72.04605016603593
Hanson,251955.9891149098,867453.6908434031,42.055759592643064,-70.87232249670453
Medway,205865.1537643166,878124.2640482074,42.15352811862907,-71.42903487708661
West Brookfield,145536.5407915383,889501.3769849448,42.254081786051444,-72.16002999476999
New Salem,131991.22917233262,911646.9018881938,42.45238304316695,-72.32677453978538
Chatham,326324.1193111442,825042.1097682827,41.665517765845166,-69.9831304442542
Waltham,221218.4099618391,904299.504195843,42.38891574871857,-71.24231287599984
Holbrook,240858.2987586016,877520.5515744324,42.147048863893126,-71.00568489190194
Pepperell,191459.0168615688,935630.5068792083,42.67121127958047,-71.6041910823191
Woburn,228423.70668358193,915206.1625765773,42.486874164626016,-71.15427205943394
Wilbraham,123037.26501359319,875593.8129056733,42.12698714312856,-72.43083573242875
Georgetown,242417.19079753343,941618.9128119817,42.72400636263507,-70.98211708870312
Carver,261737.2900718814,847329.0377290442,41.87386796135974,-70.75628047644886
Eastham,326313.8143677233,844584.4148473648,41.841440588376955,-69.97907034475526
Melrose,236273.70997415524,911770.161385646,42.45561583681129,-71.0590071920818
Manchester,259999.35636136492,926030.5441016348,42.58252377152067,-70.76909153046664
Sutton,179307.4720299527,875951.2222994582,42.13371252221306,-71.75029035274268
Framingham,205214.4799318841,895341.115794698,42.30853627898034,-71.43675320360663
Holyoke,105778.65566685403,885302.9754860147,42.21250630201011,-72.64112052675155
New Ashford,58543.4608375853,930108.4241079452,42.60867816730885,-73.22402646254149
New Marlborough,56082.510578149406,873740.5018809496,42.10086585650119,-73.2399990136244
Montgomery,90977.0640386463,885132.7292906278,42.20905101070159,-72.82032491306647
Andover,227468.30617256585,932940.0750177074,42.64655330106805,-71.16504576668366
East Brookfield,154850.28320234077,883790.3893996509,42.20326006325885,-72.04671872222266
Spencer,159406.69641604202,888635.7844313765,42.24713223396104,-71.99188467601101
Gill,117065.71054094814,931953.1842759143,42.63372951421823,-72.5111331239022
Dennis,311155.97347923456,829547.7986008172,41.70836260005395,-70.16438699044774
Leverett,118800.71249300812,914144.4169316218,42.47360294843671,-72.48746840713633
Brookfield,150078.005167464,882753.3424685997,42.19363374586369,-72.10441549645205
North Attleborough,213719.3161564587,857740.9389860368,41.96991392903168,-71.3344825989517
Weymouth,245651.21587843748,882864.7025125986,42.19489711334855,-70.94728141997388
Westhampton,94604.38505797289,896283.4726993965,42.30992663401392,-72.77842669923348
West Boylston,176562.18735244562,902092.9713069282,42.36898748848684,-71.78455108799903
Leicester,165994.2837814745,887806.6389804983,42.23998179068377,-71.91201317678829
Hinsdale,67255.4899893119,910622.1131599162,42.43482205821303,-73.11338164102433
Shrewsbury,182231.44686818196,892657.8859712963,42.284194803319785,-71.71543342093997
Provincetown,307736.10139854846,868660.251168415,42.06094218142168,-70.19830106540107
Upton,191381.29048961124,880742.336436853,42.17707345967245,-71.60432034200402
Billerica,219112.49271419022,923150.4371468395,42.55867568836653,-71.26726340315223
Rochester,255011.73405761606,834624.2297697216,41.75998326739255,-70.8384835219394
Harvard,192989.63297899655,917265.0424709164,42.50589622416442,-71.58529513950307
Buckland,94285.53842663905,927590.7003629897,42.59169735979806,-72.78802770785747
Hatfield,107635.12099995467,904763.039612785,42.3879094870198,-72.6217386775429
Boxborough,198536.91970959888,915314.8319573028,42.4883696725052,-71.51779635368524
Holden,170277.9623267535,900688.8142518327,42.35613224829664,-71.86077296290394
Methuen,225481.13783595106,942644.7346791895,42.733981455200734,-71.1888457903777
Ashfield,92641.66681900121,919669.2654931529,42.520169126429465,-72.8065752563154
Swansea,223998.22149487925,834558.702290215,41.760948441580524,-71.21141920358683
Rehoboth,221129.77015298096,843765.2951685438,41.843921585852215,-71.24558215257866
Shirley,187923.2749027804,924670.5584181442,42.57250128498405,-71.6470928067461
Phillipston,147812.30172206112,922661.0991436169,42.552755211343374,-72.13544533242809
Chelmsford,211233.58649988988,927719.6601282993,42.599962679054556,-71.36311688560887
South Hadley,110943.54611366383,890142.7598287796,42.25668048002221,-72.57931674568286
Williamsburg,98783.0404973439,906496.7891182116,42.402418080616386,-72.7295333125352
Raynham,237850.22630793788,853531.5694509686,41.93122357406025,-71.04362948419441
Weston,216469.5269352321,900955.4082017466,42.35892446442518,-71.30008066477596
Gardner,160043.9520635772,926108.7766016311,42.584515935867074,-71.98675418774363
Orange,134920.74440275726,928745.383684901,42.606553888919095,-72.29309556326054
Dartmouth,241852.37736473122,818501.896706486,41.6156371006158,-70.99786194295758
Cummington,83251.92246276847,913484.3225834086,42.46314551995212,-72.9195776684728
Granby,117194.39528764348,890525.8898550789,42.260816651067984,-72.50362167394282
Lee,57022.60764974787,896066.5134356112,42.30199900616204,-73.23412317318726
Sterling,177542.0920216901,910115.6414216313,42.441241532502,-71.7729661602947
Warren,142138.55309071037,883539.8471434864,42.200167686708625,-72.2006142057093
Charlemont,88065.4432066181,933077.6609386721,42.640215243027114,-72.86487060691248
